"","LAT","LON","SPEED","COURSE","HEADING","DESTINATION","FLAG","LENGTH","SHIPNAME","SHIPTYPE","SHIP_ID","WIDTH","DWT","DATETIME","PORT","date","week_nb","ship_type","port","is_parked"
"2326932",59.90893,30.22413,0,0,511,"CLASS B","RU",30,"TORNADO",3,346208,10,NA,"2016-12-14T01:33:03Z","st_petersburg","2016-12-14",50,"Tug","St. Petersburg",1
"2694263",59.91254,30.24188,0,0,511,"SANKT PETERSBURG","RU",73,"KAPITAN ZARUBIN",3,350708,16,262,"2016-12-20T01:11:03Z","st_petersburg","2016-12-20",51,"Tug","St. Petersburg",1
"823298",57.67095,11.84943,0,278,511,"CLASS B","GB",19,"CELESTE OF SOLENT",9,190564,5,NA,"2016-12-17T06:41:05Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"790951",57.70621,11.65903,0,343,128,"OCKERO","SE",56,"FRANKLIN",3,182358,12,1218,"2016-12-16T18:49:05Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"1584739",57.77259,11.62053,0,0,511,"CLASS B","SE",7,"ENSKAR",2,1442009,2,NA,"2016-12-14T22:25:06Z","gothenborg","2016-12-14",50,"Fishing","gothenborg",1
"1970616",55.71547,21.11418,0,102,327,"KLAIPEDA","AG",79,"HELGA",7,359267,10,2086,"2016-12-13T17:19:07Z","klaipeda","2016-12-13",50,"Cargo","Klaipeda",1
"1455160",57.64094,11.95984,0,0,511,"CLASS B","SE",60,"WWW.SSBILBEHOR.SE",9,326697,25,NA,"2016-12-17T02:37:05Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"2920861",59.87127,30.20696,0,154,315,"ST.PETERSBURG V KIEL","LR",169,"BARMBEK",7,758658,27,15956,"2016-12-16T06:05:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"2185947",59.88316,30.16493,0,35,314,"SKAGEN FO","MT",182,"BALTIC FROST",8,301875,27,37100,"2016-12-18T17:59:04Z","st_petersburg","2016-12-18",51,"Tanker","St. Petersburg",1
"3060658",59.88417,30.2298,1,0,511,"CLASS B","RU",37,"RONDO",8,3811364,8,NA,"2016-12-18T14:19:04Z","st_petersburg","2016-12-18",51,"Tanker","St. Petersburg",1
"1493134",57.77314,11.61733,0,48,139,NA,"SE",19,"SVANEN",2,326954,6,0,"2016-12-16T20:47:05Z","gothenborg","2016-12-16",51,"Fishing","gothenborg",1
"1593812",57.72009,11.97629,0,3,511,"GOTEBORG  C","SE",20,"FROG TAURUS",3,2312999,6,NA,"2016-12-16T00:11:08Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"705686",54.61354,18.78919,0,185,112,"SAR ON DUTY","PL",36,"SZTORM",3,3434504,8,70,"2016-12-19T22:49:23Z","gdynia","2016-12-19",51,"Tug","Gdynia",1
"2574120",59.91138,30.22763,0,0,10,"SPB","RU",65,"NEVA LUX",8,349961,10,1256,"2016-12-20T06:25:05Z","st_petersburg","2016-12-20",51,"Tanker","St. Petersburg",1
"2769916",59.8784,30.19807,0,0,324,"SPB","RU",111,"MUDYUG",3,351699,22,2920,"2016-12-18T07:39:04Z","st_petersburg","2016-12-18",51,"Tug","St. Petersburg",1
"366964",54.39877,18.67878,0,244,511,"CLASS B","PL",11,"PIORUN",9,3900094,4,NA,"2016-12-19T12:33:02Z","gdansk","2016-12-19",51,"Pleasure","Gdańsk",1
"2168938",59.91457,30.24985,0,237,266,"SAINT PETERSBURG","MT",173,"ATLANTIC RUNNER",7,284882,23,18731,"2016-12-16T19:57:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"961664",57.69351,11.91336,0,334,133,NA,"SE",21,"HAMNEN",6,320546,6,NA,"2016-12-15T23:35:08Z","gothenborg","2016-12-15",50,"Passenger","gothenborg",1
"331307",54.53393,18.66382,0,0,511,NA,"PL",2,"BY GD",1,850644,2,NA,"2016-12-16T21:19:02Z","gdansk","2016-12-16",51,"Navigation","Gdańsk",1
"1606372",57.66601,11.79463,8,163,166,"LIDKOPING","NL",82,"ASPEN",7,3350779,12,3159,"2016-12-16T06:55:05Z","gothenborg","2016-12-16",51,"Cargo","gothenborg",0
"1036268",57.77213,11.61885,0,89,47,"3:E MAN","SE",16,"RESCUE MARTA COLLIN",3,321341,5,NA,"2016-12-13T22:45:05Z","gothenborg","2016-12-13",50,"Tug","gothenborg",1
"2393749",59.88013,30.18739,0,0,136,"SPB","RU",92,"VALERIY ZELENKO",8,347165,14,3514,"2016-12-19T17:09:03Z","st_petersburg","2016-12-19",51,"Tanker","St. Petersburg",1
"2927678",59.8778,30.21639,0,0,0,NA,"RU",3,"ST.-PETERSBURG PT LE",1,851186,3,NA,"2016-12-14T22:07:04Z","st_petersburg","2016-12-14",50,"Navigation","St. Petersburg",1
"2127321",59.88101,30.23196,0,0,94,"ST.PETERSBURG","CY",89,"FRI PORSGRUNN",7,204772,13,3792,"2016-12-16T11:47:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"1595016",57.72006,11.97631,0,27,511,"GOTEBORG  C","SE",20,"FROG TAURUS",3,2312999,6,NA,"2016-12-16T20:25:05Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"100090",54.35755,18.70439,0,340,511,"GDANSK-HEL-GDANSK","PL",37,"RUBIN",6,315695,11,81,"2016-12-13T14:31:02Z","gdansk","2016-12-13",50,"Passenger","Gdańsk",1
"2542675",59.91081,30.225,0,295,200,"ST-PETERSBURG KSZ 3","RU",129,"VIKING INGVAR",6,349456,17,NA,"2016-12-16T10:09:05Z","st_petersburg","2016-12-16",51,"Passenger","St. Petersburg",1
"227735",54.39945,18.69723,0,294,248,"REDA GDANSK","PL",31,"VIRTUS",3,317353,11,100,"2016-12-13T11:47:02Z","gdansk","2016-12-13",50,"Tug","Gdańsk",1
"1390875",57.71066,11.95076,0,45,511,"CLASS B","SE",15,"GREAT ESCAPE",9,326054,4,NA,"2016-12-16T09:19:05Z","gothenborg","2016-12-16",51,"Pleasure","gothenborg",1
"1270064",57.70625,11.94334,0,0,511,"CLASS B","SE",16,"YANIKI IV",9,323838,5,NA,"2016-12-18T02:11:08Z","gothenborg","2016-12-18",51,"Pleasure","gothenborg",1
"1451561",57.64095,11.95981,0,0,511,"CLASS B","SE",60,"WWW.SSBILBEHOR.SE",9,326697,25,NA,"2016-12-14T14:21:06Z","gothenborg","2016-12-14",50,"Pleasure","gothenborg",1
"2475515",59.9135,30.22767,26,205,197,"SPB","RU",80,"FLANDRIYA",8,348139,14,2800,"2016-12-14T19:55:03Z","st_petersburg","2016-12-14",50,"Tanker","St. Petersburg",0
"2248595",59.86553,30.22851,0,342,511,"SANKT-PETERBURG","RU",132,"TAYMEN",8,345788,17,NA,"2016-12-16T18:51:03Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"3098670",59.94121,30.25623,0,258,511,"CLASS B","SO",1000,"BLACKPEARL 7.4V",0,4666609,100,NA,"2016-12-20T01:29:03Z","st_petersburg","2016-12-20",51,"Unspecified","St. Petersburg",1
"1854790",54.69202,20.19613,0,0,511,"SVETLIY","RU",22,"OLEG STRASHNOV",3,878185,8,65,"2016-12-15T09:23:03Z","kalingrad","2016-12-15",50,"Tug","Kalingrad",1
"2981359",59.88117,30.22833,0,0,96,"KR#-PETESBURG","RU",60,"KEILA",8,2420192,10,1621,"2016-12-16T06:45:03Z","st_petersburg","2016-12-16",51,"Tanker","St. Petersburg",1
"1577404",57.71099,11.6586,0,0,511,"CLASS B","SE",30,"POLSTJERNAN",6,1104090,7,0,"2016-12-20T00:07:05Z","gothenborg","2016-12-20",51,"Passenger","gothenborg",1
"1178843",57.69104,11.89186,0,0,20,"CLASS B","SE",15,"SAXKRAN NR 2",9,322861,7,NA,"2016-12-17T15:41:08Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"2031730",55.72216,21.10383,0,151,128,"LT KLJ VIA NOK","IT",136,"ACQUAMARINA",8,1247749,20,12004,"2016-12-16T02:03:07Z","klaipeda","2016-12-16",51,"Tanker","Klaipeda",1
"1992160",55.70912,21.12077,1,196,511,"KLAIPEDA","KN",54,"AMATHUS",7,403087,9,510,"2016-12-15T20:23:06Z","klaipeda","2016-12-15",50,"Cargo","Klaipeda",1
"2128408",59.88182,30.2253,0,358,71,"ST.PETERSBURG","CY",89,"FRI PORSGRUNN",7,204772,13,3792,"2016-12-17T06:01:05Z","st_petersburg","2016-12-17",51,"Cargo","St. Petersburg",1
"2939436",59.91215,30.24515,0,301,511,"ST PETERSBURG","RU",35,"SVIR",3,987831,8,455,"2016-12-16T13:19:03Z","st_petersburg","2016-12-16",51,"Tug","St. Petersburg",1
"542192",54.51797,18.55003,0,290,511,"CLASS B","PL",12,"WYSPA SZCZESCIA",9,316482,4,NA,"2016-12-18T06:51:06Z","gdynia","2016-12-18",51,"Pleasure","Gdynia",1
"189570",54.60116,18.80342,1,182,511,"CLASS B","PL",21,"WLA-67",2,316236,6,NA,"2016-12-17T20:51:02Z","gdansk","2016-12-17",51,"Fishing","Gdańsk",1
"1728539",57.72103,11.97591,0,336,511,"CLASS B","SE",15,"ANNABELLA",9,4450061,4,NA,"2016-12-18T17:43:07Z","gothenborg","2016-12-18",51,"Pleasure","gothenborg",1
"2908001",59.87833,30.19063,0,342,316,"ST PETERSBURG","LR",179,"INA LOTTE",7,758523,29,38267,"2016-12-16T06:07:04Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"1968250",55.66437,21.14905,0,237,73,"KLAIPEDA","LT",24,"LOTAS",3,353637,6,NA,"2016-12-19T20:55:06Z","klaipeda","2016-12-19",51,"Tug","Klaipeda",1
"272488",54.44265,18.66681,93,220,220,"GDA-NYN-GDA","BS",163,"M/F WAWEL",6,376082,27,3501,"2016-12-15T10:05:02Z","gdansk","2016-12-15",50,"Passenger","Gdańsk",0
"2782943",59.88099,30.23177,0,89,96,"ST.PETERSBURG","LV",89,"OSTEREMS",7,359922,13,3714,"2016-12-19T12:37:04Z","st_petersburg","2016-12-19",51,"Cargo","St. Petersburg",1
"1475719",57.68839,11.85569,0,326,511,"CLASS B","SE",0,"K10",3,326735,0,NA,"2016-12-17T09:47:06Z","gothenborg","2016-12-17",51,"Tug","gothenborg",1
